Match ID,Stage,Home ID,Home Team,Home Goals,Away Goals,Away ID,Away Team,Winner ID,Winner Name
"R16_M1","Round of 16","B1","Canada","0","1","C2","Morocco","C2","Morocco"
"R16_M2","Round of 16","D2","Paraguay","1","4","I1","France","I1","France"
"R16_M3","Round of 16","C1","Brazil","1","2","I4","Norway","I4","Norway"
"R16_M4","Round of 16","A1","Mexico","1","2","L1","England","L1","England"
"R16_M5","Round of 16","K1","Portugal","0","3","H1","Spain","H1","Spain"
"R16_M6","Round of 16","D1","USA","1","1","G1","Belgium","Draw","Draw"
"R16_M7_A","Round of 16","J1","Argentina","3","0","D3","Australia","J1","Argentina"
"R16_M7_B","Round of 16","J1","Argentina","3","0","G2","Egypt","J1","Argentina"
"R16_M7_C","Round of 16","H2","Cape Verde","2","1","D3","Australia","H2","Cape Verde"
"R16_M7_D","Round of 16","H2","Cape Verde","1","1","G2","Egypt","Draw","Draw"
"R16_M8_A","Round of 16","B4","Switzerland","1","2","K4","Colombia","K4","Colombia"
"R16_M8_B","Round of 16","B4","Switzerland","1","1","L3","Ghana","Draw","Draw"
