Match ID,Stage,Home ID,Home Team,Home Goals,Away Goals,Away ID,Away Team,Winner ID,Winner Name
"R32_M1","Round of 32","E1","Germany","3","0","D2","Paraguay","E1","Germany"
"R32_M2","Round of 32","I1","France","4","1","F3","Sweden","I1","France"
"R32_M3","Round of 32","A2","South Africa","1","2","B1","Canada","B1","Canada"
"R32_M4","Round of 32","F1","Netherlands","2","1","C2","Morocco","F1","Netherlands"
"R32_M5","Round of 32","K1","Portugal","1","2","L2","Croatia","L2","Croatia"
"R32_M6","Round of 32","H1","Spain","2","0","J3","Austria","H1","Spain"
"R32_M7","Round of 32","D1","USA","1","0","B2","Bosnia","D1","USA"
"R32_M8","Round of 32","G1","Belgium","3","2","I2","Senegal","G1","Belgium"
"R32_M9","Round of 32","C1","Brazil","3","1","F2","Japan","C1","Brazil"
"R32_M10","Round of 32","E3","Ivory Coast","1","2","I4","Norway","I4","Norway"
"R32_M11","Round of 32","A1","Mexico","2","1","E4","Ecuador","A1","Mexico"
"R32_M12","Round of 32","L1","England","3","0","K2","DR Congo","L1","England"
"R32_M13","Round of 32","J1","Argentina","4","0","H2","Cape Verde","J1","Argentina"
"R32_M14","Round of 32","D3","Australia","0","1","G2","Egypt","G2","Egypt"
"R32_M15","Round of 32","B4","Switzerland","2","1","J2","Algeria","B4","Switzerland"
"R32_M16","Round of 32","K4","Colombia","1","0","L3","Ghana","K4","Colombia"
